D1_ADVA	1 of 1: 520
D1_AGAI	1 of 1: 380
D1_ASSO	1 of 1: 320
D1_BOAR	2 of 2: 310
D1_COND	1 of 1: 340
D1_DESC	1 of 1: 410
D1_DIST	1 of 1: 300
D1_DVD	1 of 1: 230
D1_ENTE	1 of 1: 310
D1_EXAM	1 of 1: 400
D1_FEEL	1 of 1: 310
D1_GOOG	1 of 1: 380
D1_GPS	1 of 1: 300
D1_HOUR	1 of 1: 270
D1_JOIN	1 of 1: 280
D1_MOND	1 of 1: 280
D1_MUSI	1 of 1: 290
D1_NOTE	1 of 1: 400
D1_OPEN	1 of 1: 420
D1_SECT	1 of 1: 370
D1_SEND	1 of 1: 400
D1_SET	1 of 1: 240
D1_SIGN	1 of 1: 290
D1_SOUR	1 of 1: 530
D1_SPEN	1 of 1: 410
D1_TELL	1 of 1: 290
D1_TITL	1 of 1: 320
D1_VALU	1 of 1: 340
D1_WEBS	1 of 1: 390
D1_WEST	1 of 1: 350
